timestamp,platform,sample,cold_ms,warm_ms,penalty
2026-06-04T16:40:00.0307855+03:00,ACA,1,23626.2,212.5,111.18
2026-06-04T16:46:21.5161669+03:00,ACA,2,20480,199.6,102.61
2026-06-04T16:52:43.3259756+03:00,ACA,3,20668.8,297.2,69.55
2026-06-04T16:59:04.6786365+03:00,ACA,4,20407.8,128.4,158.94
2026-06-04T17:05:26.3886829+03:00,ACA,5,20699.7,202.9,102.02
2026-06-04T17:12:30.5214132+03:00,Koyeb,1,-1,-1,
2026-06-04T17:18:32.3287253+03:00,Koyeb,2,861.8,146.6,5.88
2026-06-04T17:24:49.0953650+03:00,Koyeb,3,15822.3,140.8,112.37
2026-06-04T17:30:50.5817001+03:00,Koyeb,4,530.4,150.3,3.53
2026-06-04T17:36:58.8503690+03:00,Koyeb,5,7300.3,153.9,47.44
2026-06-04T17:43:03.7996062+03:00,Fly.io,1,3873.2,236.6,16.37
2026-06-04T17:49:05.2489895+03:00,Fly.io,2,519.2,112.4,4.62
2026-06-04T17:55:09.8918202+03:00,Fly.io,3,3709.9,122.9,30.19
2026-06-04T18:01:11.3431263+03:00,Fly.io,4,500.9,138.6,3.61
2026-06-04T18:07:16.3789770+03:00,Fly.io,5,4037.9,157.1,25.7
