Comparator,Apache_p95_median_ms,Comparator_p95_median_ms,Holm_adjusted_p,Cliffs_delta_(Apache−comparator),magnitude
Nginx+uWSGI,146.3,112.8,0.0365,0.72,large
Gunicorn,146.3,118.5,0.3498,0.64,large
ACA,146.3,113.6,0.0114,0.94,large
IIS+Waitress,146.3,142.7,1.0,0.1,negligible
