MediaFile,SizeBytes,SHA256,Status
image13.png,84342,31DBDF220F9F66315D5F661A54BC70152EC9E1E5783822EEC1739C9840DD2765,Present in DOCX media folder but not referenced by a body drawing relationship
image14.png,84369,39BA174FE2E8F5E0515ACF3EC8547BC58591A7956B0B0AC3C1D6D23EB5CC9634,Present in DOCX media folder but not referenced by a body drawing relationship
image16.png,93859,EF43187B08E5D675244BB0F159E229870D336182142E42C51549A3BDEB0CB25E,Present in DOCX media folder but not referenced by a body drawing relationship
