scenario,self_managed_median,provider_managed_median,relative_gap_pct
A_browse,20.001,19.909,-0.459977001149954
B_mixed,15.001,14.996500000000001,-0.029998000133313742
C_checkout,29.98225,29.8335,-0.49612687506774744
D_burst,17.7145,17.8245,0.6209602303197913
