timestamp,service,cpu_percent,mem_used_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1778959306647066918,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959306647066918,bench_pgbouncer,0.51,2159017,33651068764,0.01,621000000,603000000,0,8190,1
1778959306647066918,bench_postgres,0.98,73935093,4294967296,1.72,323000000,310000000,532000,1500000000,8
1778959310030266761,bench_apache,8.17,165570150,2147483648,7.71,120000000,732000000,0,36300000,28
1778959310030266761,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959310030266761,bench_django,0.03,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959310030266761,bench_pgbouncer,0.57,2305818,33651068764,0.01,621000000,603000000,0,8190,1
1778959310030266761,bench_postgres,1.20,74522296,4294967296,1.74,323000000,310000000,532000,1500000000,8
1778959313415879620,bench_apache,8.36,165570150,2147483648,7.71,120000000,733000000,0,36300000,28
1778959313415879620,bench_nginx,0.01,192518553,2147483648,8.97,69500000,425000000,0,12300,19
1778959313415879620,bench_django,0.05,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959313415879620,bench_pgbouncer,0.55,2481979,33651068764,0.01,621000000,603000000,0,8190,1
1778959313415879620,bench_postgres,4.33,74144808,4294967296,1.73,323000000,310000000,532000,1500000000,8
1778959316825271812,bench_apache,8.36,165570150,2147483648,7.71,120000000,733000000,0,36300000,28
1778959316825271812,bench_nginx,0.01,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959316825271812,bench_django,0.03,133064294,2147483648,6.20,75900000,419000000,0,0,9
1778959316825271812,bench_pgbouncer,0.60,2236612,33651068764,0.01,621000000,603000000,0,8190,1
1778959316825271812,bench_postgres,1.13,74123837,4294967296,1.73,323000000,310000000,532000,1500000000,8
1778959320224915527,bench_apache,8.53,165779865,2147483648,7.72,120000000,733000000,0,36300000,28
1778959320224915527,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959320224915527,bench_django,0.03,133064294,2147483648,6.20,75900000,419000000,0,0,9
1778959320224915527,bench_pgbouncer,0.60,2457862,33651068764,0.01,621000000,603000000,0,8190,1
1778959320224915527,bench_postgres,1.05,74302095,4294967296,1.73,323000000,310000000,532000,1500000000,8
1778959323624934397,bench_apache,12.35,167772160,2147483648,7.81,120000000,734000000,0,36300000,29
1778959323624934397,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959323624934397,bench_django,0.03,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959323624934397,bench_pgbouncer,0.56,2228224,33651068764,0.01,621000000,603000000,0,8190,1
1778959323624934397,bench_postgres,4.44,75109498,4294967296,1.75,324000000,310000000,532000,1500000000,8
1778959327042148745,bench_apache,8.18,167667302,2147483648,7.81,120000000,734000000,0,36300000,29
1778959327042148745,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959327042148745,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959327042148745,bench_pgbouncer,0.55,2739929,33651068764,0.01,621000000,603000000,0,8190,1
1778959327042148745,bench_postgres,0.95,74323066,4294967296,1.73,324000000,310000000,532000,1500000000,8
1778959330435779863,bench_apache,5.70,167877017,2147483648,7.82,121000000,734000000,0,36300000,29
1778959330435779863,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959330435779863,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959330435779863,bench_pgbouncer,0.27,2739929,33651068764,0.01,621000000,603000000,0,8190,1
1778959330435779863,bench_postgres,1.03,74878812,4294967296,1.74,324000000,310000000,532000,1500000000,8
1778959333828786292,bench_apache,3.41,165465292,2147483648,7.71,121000000,735000000,0,36300000,28
1778959333828786292,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959333828786292,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959333828786292,bench_pgbouncer,0.20,2653945,33651068764,0.01,622000000,603000000,0,8190,1
1778959333828786292,bench_postgres,3.71,75015127,4294967296,1.75,324000000,310000000,532000,1500000000,8
1778959337256395649,bench_apache,7.31,165570150,2147483648,7.71,121000000,735000000,0,36500000,28
1778959337256395649,bench_nginx,0.01,192413696,2147483648,8.96,69500000,425000000,0,12300,19
